Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	AccumulativeHeading(Y)	Speed	RSpeed	Dynamic
3.98444	39.3168	123	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.00942	40.033	124	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.03332	41.8384	125	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.05812	40.3292	126	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.08306	40.0973	127	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.10783	40.3632	128	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.13185	41.6313	129	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.15608	41.2733	130	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.18061	40.7632	131	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.20572	39.8265	132	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.23268	37.0985	133	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
4.25758	40.1518	134	0	-1	2	2	-1	1	1.99574e-002	-0.236111	0.	-1.99574e-002	-2.34329	0.	4.12193e-003	0.999992	0.	4.12193e-003	0.999992	0.	0.	0.23617	0.	0.	0	
